================================================================================

FROM MASTER_DUMPS                  FROM RAW CSV
			 100		1000		20000  instances
================================================================================
7014.15			 7008.1         7012.12        7014.72        
962.30			 970.48         962.77         962.37         
465.49			 455.38         463.94         465.28         
751.83			 747.1          751.79         751.99         
808.36			 804.67         809.25         808.75         
2337.61			 2339.29        2334.6         2337.52        
1622.14			 1638.43        1622.3         1622.31        
30.90			 31.43          32.58          31.1           
681.09			 673.0          677.45         682.4          
21.58			 19.57          20.99          21.32          
935.97			 928.48         933.17         935.22         
1744.75			 1738.33        1742.59        1745.27        
616.07			 619.67         615.83         616.13         
368.11			 365.52         367.43         367.88         
2114.34			 2119.14        2111.92        2114.86        
16.47			 16.62          16.55          16.48          
609.81			 605.24         611.18         609.95         
4261.59			 4267.33        4265.85        4262.18        
624.75			 618.76         627.33         625.33         
1117.57			 1104.48        1109.97        1118.24        
624.89			 624.71         621.65         624.63         
1991.24			 1994.86        1990.93        1991.24        
5587.71			 5562.67        5582.72        5585.87        
466.79			 463.67         466.69         466.82         
2800.46			 2810.62        2804.93        2800.37        
361.42			 368.9          361.12         361.77         
456.43			 463.86         455.88         456.25         
2877.37			 2895.57        2879.71        2878.81        
2041.10			 2055.57        2041.49        2041.65        
920.04			 919.14         920.77         920.01         
302.02			 304.33         304.24         301.96         
994.55			 996.76         996.41         993.29         
7451.63			 7451.33        7448.38        7451.45        
2175.98			 2174.43        2173.82        2175.53        
3046.14			 3049.33        3045.88        3046.73        
2447.47			 2434.05        2445.02        2446.3         
25.38			 25.52          25.96          25.47          
482.89			 483.81         482.3          482.58         
610.03			 620.67         610.17         609.59         
47.20			 45.62          46.51          47.35          
1523.78			 1533.43        1519.44        1523.66        
231.67			 232.24         232.01         231.71         
2284.40			 2282.81        2283.99        2284.69        
423.22			 421.71         424.45         423.4          
2174.41			 2163.33        2177.95        2175.41        
104.20			 104.19         103.09         104.14         
