	p	t	Gene	degree	in-degree	out-degree	Bin_avg	Bin_std	Din_avg	Din_std	Bout_avg	Bout_std	Dout_avg	Dout_std	Bin_over_Din	Bin_over_Bout	Bin_over_Dout	Din_over_Bin	Din_over_Bout	Din_over_Dout	Bout_over_Bin	Bout_over_Din	Bout_over_Dout	Dout_over_Bin	Dout_over_Din	Dout_over_Bout
1413	0.1	1.0	IKBKB	12.0	5.0	7.0	0.9640000000000001	0.18600000000000003	0.0	0.0	0.439	0.828	1.22	0.812	0.9640000000000001	0.9640000000000001	0.7901639344262295	0.0	0.0	0.0	0.439	0.439	0.3598360655737705	1.22	1.22	1.22
1415	0.1	1.0	IKBKG	13.0	5.0	8.0	1.9	1.719	0.0	0.0	0.077	0.266	1.308	1.284	1.9	1.9	1.4525993883792048	0.0	0.0	0.0	0.04052631578947369	0.077	0.058868501529051986	0.688421052631579	1.308	1.308
1481	0.1	1.0	JAK1	14.0	9.0	5.0	2.773	3.384	0.0	0.0	0.0	0.0	2.3930000000000002	3.0860000000000003	2.773	2.773	1.1587964897618055	0.0	0.0	0.0	0.0	0.0	0.0	0.8629642985935808	2.3930000000000002	2.3930000000000002
1482	0.1	1.0	JAK2	11.0	3.0	8.0	1.085	0.34700000000000003	0.106	0.308	0.207	0.446	0.948	0.43200000000000005	1.085	1.085	1.085	0.0976958525345622	0.106	0.106	0.19078341013824884	0.207	0.207	0.8737327188940092	0.948	0.948
1530	0.1	1.0	MAP3K5	15.0	7.0	8.0	0.976	0.154	0.0	0.0	0.934	1.588	1.6230000000000002	1.119	0.976	0.976	0.6013555144793592	0.0	0.0	0.0	0.934	0.934	0.5754775107825015	1.6230000000000002	1.6230000000000002	1.6230000000000002
1532	0.1	1.0	MAP3K7	12.0	5.0	7.0	1.4469999999999998	1.117	0.158	0.365	0.195	0.396	1.3659999999999999	1.121	1.4469999999999998	1.4469999999999998	1.0592972181551976	0.10919143054595716	0.158	0.11566617862371888	0.13476157567380787	0.195	0.14275256222547586	0.9440221147201106	1.3659999999999999	1.3659999999999999
1540	0.1	1.0	MAPK14	11.0	7.0	4.0	0.9570000000000001	0.204	0.0	0.0	0.6759999999999999	1.296	1.595	1.218	0.9570000000000001	0.9570000000000001	0.6	0.0	0.0	0.0	0.6759999999999999	0.6759999999999999	0.4238244514106583	1.595	1.595	1.595
1541	0.1	1.0	MAPK3	12.0	5.0	7.0	1.489	1.351	0.0	0.0	0.0	0.0	1.575	1.4469999999999998	1.489	1.489	0.9453968253968256	0.0	0.0	0.0	0.0	0.0	0.0	1.0577568838146405	1.575	1.575
1570	0.1	1.0	NCK1	11.0	8.0	3.0	0.95	0.218	0.0	0.0	1.179	1.794	2.036	1.679	0.95	0.8057675996607294	0.4666011787819253	0.0	0.0	0.0	1.179	1.179	0.5790766208251473	2.036	2.036	1.7268871925360474
1578	0.1	1.0	NFKB1	13.0	7.0	6.0	1.3330000000000002	1.449	0.0	0.0	0.0	0.0	1.147	1.033	1.3330000000000002	1.3330000000000002	1.162162162162162	0.0	0.0	0.0	0.0	0.0	0.0	0.8604651162790699	1.147	1.147
1603	0.1	1.0	PAK1	11.0	9.0	2.0	3.0669999999999997	3.5860000000000003	0.0	0.0	0.0	0.0	4.762	4.046	3.0669999999999997	3.0669999999999997	0.6440571188576228	0.0	0.0	0.0	0.0	0.0	0.0	1.5526573198565372	4.762	4.762
1612	0.1	1.0	PDGFRB	12.0	6.0	6.0	0.9640000000000001	0.18600000000000003	0.0	0.0	0.8390000000000001	1.298	1.581	1.264	0.9640000000000001	0.9640000000000001	0.6097406704617331	0.0	0.0	0.0	0.8390000000000001	0.8390000000000001	0.5306767868437697	1.581	1.581	1.581
1635	0.1	1.0	PIK3R1	15.0	13.0	2.0	4.583	5.251	0.33299999999999996	0.47100000000000003	0.217	0.41200000000000003	3.3480000000000003	4.565	4.583	4.583	1.3688769414575868	0.07265982980580406	0.33299999999999996	0.09946236559139786	0.047348898101680116	0.217	0.06481481481481481	0.7305258564259218	3.3480000000000003	3.3480000000000003
1710	0.1	1.0	PRKDC	12.0	8.0	4.0	2.0	2.326	0.17600000000000002	0.381	0.207	0.405	2.207	2.455	2.0	2.0	0.9062075215224288	0.08800000000000001	0.17600000000000002	0.07974626189397373	0.1035	0.207	0.09379247847757136	1.1035	2.207	2.207
1725	0.1	1.0	PTPN1	12.0	10.0	2.0	3.9330000000000003	4.297	0.0	0.0	0.0	0.0	2.75	3.6310000000000002	3.9330000000000003	3.9330000000000003	1.4301818181818182	0.0	0.0	0.0	0.0	0.0	0.0	0.699211797609967	2.75	2.75
1745	0.1	1.0	RASA1	12.0	11.0	1.0	0.857	0.35	0.0	0.0	2.333	3.438	3.267	3.492	0.857	0.3673381911701672	0.2623201714110805	0.0	0.0	0.0	2.333	2.333	0.714110805019896	3.267	3.267	1.400342906129447
1763	0.1	1.0	RIPK2	12.0	11.0	1.0	5.9	5.1080000000000005	0.0	0.0	0.0	0.0	5.332999999999999	5.077	5.9	5.9	1.1063191449465593	0.0	0.0	0.0	0.0	0.0	0.0	0.9038983050847458	5.332999999999999	5.332999999999999
1833	0.1	1.0	STAT3	12.0	12.0	0.0	0.0	0.0	0.0	0.0	5.2	2.5610000000000004	5.6	2.653	0.0	0.0	0.0	0.0	0.0	0.0	5.2	5.2	0.9285714285714288	5.6	5.6	1.0769230769230769
1860	0.1	1.0	TGFBR1	12.0	11.0	1.0	3.188	3.94	0.25	0.433	0.43799999999999994	0.496	4.875	4.526	3.188	3.188	0.653948717948718	0.07841907151819323	0.25	0.05128205128205128	0.13739021329987453	0.43799999999999994	0.08984615384615384	1.529171894604768	4.875	4.875
1892	0.1	1.0	TUBB	13.0	13.0	0.0	10.833	4.845	0.0	0.0	0.0	0.0	10.4	5.2	10.833	10.833	1.0416346153846154	0.0	0.0	0.0	0.0	0.0	0.0	0.9600295393704422	10.4	10.4
1924	0.1	1.0	YES1	11.0	10.0	1.0	0.833	0.373	0.0	0.0	4.143	3.42	3.8569999999999998	3.136	0.833	0.20106203234371228	0.2159709618874773	0.0	0.0	0.0	4.143	4.143	1.074150894477573	3.8569999999999998	3.8569999999999998	0.9309678976587016
1928	0.1	1.0	YWHAQ	14.0	14.0	0.0	0.0	0.0	0.0	0.0	6.364	2.772	6.364	2.772	0.0	0.0	0.0	0.0	0.0	0.0	6.364	6.364	1.0	6.364	6.364	1.0
